LGA_SHORT_NM,GROWTH_RATE,POSTCODE
FALLS CREEK,0.024,3699.0
LAKE MOUNTAIN,0.055,
MOUNT BAW BAW,-0.082,
MOUNT BULLER,-0.175,3723.0
MOUNT STIRLING,0.03,
ALPINE,1.3269999999999997,
ARARAT,0.9250000000000005,3377.0
BALLARAT,4.5209999999999955,3350.0
BALLARAT,4.5209999999999955,3353.0
BANYULE,0.29700000000000004,3084.0
BASS COAST,2.4759999999999986,
BAW BAW,3.4139999999999975,3833.0
BAYSIDE,0.05799999999999994,
BENALLA,0.3720000000000002,3671.0
BENALLA,0.3720000000000002,3672.0
BENDIGO,3.8169999999999966,3550.0
BENDIGO,3.8169999999999966,3552.0
BOROONDARA,-1.2109999999999994,
BRIMBANK,3.5889999999999986,
BULOKE,1.669999999999999,
CAMPASPE,2.2899999999999987,
CARDINIA,7.701999999999993,3978.0
CASEY,7.994999999999999,
CENTRAL GOLDFIELDS,1.4050000000000002,
COLAC OTWAY,1.7999999999999976,
CORANGAMITE,2.3499999999999974,
DANDENONG,2.2340000000000013,3175.0
DANDENONG,2.2340000000000013,8785.0
DAREBIN,-0.2710000000000001,
EAST GIPPSLAND,2.0009999999999994,
FRANKSTON,1.0220000000000002,3199.0
GANNAWARRA,0.9490000000000006,3568.0
GEELONG,10.203999999999994,3220.0
GLEN EIRA,-0.7820000000000006,
GLENELG,2.1239999999999997,
GOLDEN PLAINS,1.9420000000000004,
HEPBURN,1.66,3461.0
HINDMARSH,0.9470000000000005,
HOBSONS BAY,0.9210000000000005,
HORSHAM,1.3139999999999994,3400.0
HORSHAM,1.3139999999999994,3401.0
HORSHAM,1.3139999999999994,3402.0
HUME,6.178999999999996,
INDIGO,2.663999999999999,
KINGSTON,0.6300000000000001,3364.0
KNOX,0.9290000000000004,
LATROBE,5.684999999999991,
LODDON,2.028,
MACEDON RANGES,7.143999999999994,
MANNINGHAM,0.23599999999999977,
MANSFIELD,0.7610000000000005,3722.0
MANSFIELD,0.7610000000000005,3724.0
MARIBYRNONG,0.7690000000000005,3032.0
MAROONDAH,0.1429999999999999,
MELBOURNE,-1.6429999999999954,3000.0
MELBOURNE,-1.6429999999999954,3001.0
MELBOURNE,-1.6429999999999954,3004.0
MELBOURNE,-1.6429999999999954,8001.0
MELBOURNE,-1.6429999999999954,8045.0
MELBOURNE,-1.6429999999999954,8051.0
MELBOURNE,-1.6429999999999954,8060.0
MELBOURNE,-1.6429999999999954,8061.0
MELBOURNE,-1.6429999999999954,8066.0
MELBOURNE,-1.6429999999999954,8069.0
MELBOURNE,-1.6429999999999954,8070.0
MELBOURNE,-1.6429999999999954,8071.0
MELBOURNE,-1.6429999999999954,8102.0
MELBOURNE,-1.6429999999999954,8103.0
MELBOURNE,-1.6429999999999954,8107.0
MELBOURNE,-1.6429999999999954,8108.0
MELBOURNE,-1.6429999999999954,8111.0
MELBOURNE,-1.6429999999999954,8120.0
MELBOURNE,-1.6429999999999954,8205.0
MELBOURNE,-1.6429999999999954,8383.0
MELBOURNE,-1.6429999999999954,8386.0
MELBOURNE,-1.6429999999999954,8388.0
MELBOURNE,-1.6429999999999954,8390.0
MELBOURNE,-1.6429999999999954,8393.0
MELBOURNE,-1.6429999999999954,8394.0
MELBOURNE,-1.6429999999999954,8396.0
MELBOURNE,-1.6429999999999954,8399.0
MELTON,4.605999999999995,3337.0
MILDURA,1.8989999999999994,3500.0
MILDURA,1.8989999999999994,3502.0
MITCHELL,4.3299999999999965,
MOIRA,2.1699999999999986,
MONASH,0.7830000000000005,
MOONEE VALLEY,0.759,
MOORABOOL,4.095999999999996,3221.0
MORELAND,-0.07600000000000004,3058.0
MORNINGTON PENINSULA,13.116999999999933,
MOUNT ALEXANDER,-0.1489999999999998,
MOYNE,2.719999999999997,
MURRINDINDI,0.9590000000000005,3717.0
Missing Data,0.015,
NILLUMBIK,2.3149999999999986,
NORTHERN GRAMPIANS,1.9949999999999988,
PORT PHILLIP,-1.303999999999996,
PYRENEES,1.259,
QUEENSCLIFFE,0.08,
SHEPPARTON,1.6089999999999993,3630.0
SHEPPARTON,1.6089999999999993,3632.0
SOUTH GIPPSLAND,2.6039999999999965,
SOUTHERN GRAMPIANS,2.2539999999999987,
STONNINGTON,-0.7040000000000004,
STRATHBOGIE,1.0119999999999993,3666.0
SURF COAST,1.3060000000000003,
SWAN HILL,1.1150000000000004,3585.0
TOWONG,0.7180000000000003,3707.0
WANGARATTA,1.932999999999999,3676.0
WANGARATTA,1.932999999999999,3677.0
WARRNAMBOOL,0.4350000000000001,3280.0
WELLINGTON,2.9709999999999983,
WEST WIMMERA,1.1780000000000002,
WHITEHORSE,-0.6170000000000004,
WHITTLESEA,4.1899999999999995,3757.0
WODONGA,1.0980000000000003,3689.0
WODONGA,1.0980000000000003,3690.0
WYNDHAM,6.752999999999993,
YARRA,-1.0050000000000008,
YARRA RANGES,6.459999999999991,
YARRIAMBIACK,2.0679999999999987,
