NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,combined_peak
4415,2018,927028.0,2424450.0,3351478.0
849,2018,898709.0,2261940.0,3160649.0
855,2018,868009.0,2203140.0,3071149.0
2816,2018,762562.0,2256012.0,3018574.0
3357,2018,813531.0,2198048.0,3011579.0
3519,2018,827010.0,2128082.0,2955092.0
2487,2018,799265.0,2137412.0,2936677.0
3386,2018,757880.0,2108736.0,2866616.0
1359,2018,748460.0,2103607.0,2852067.0
2326,2018,725661.0,2099865.0,2825526.0
3516,2018,780902.0,1979239.0,2760141.0
414,2018,725117.0,2016033.0,2741150.0
416,2018,768285.0,1947764.0,2716049.0
2101,2018,706142.0,1981105.0,2687247.0
2316,2018,724287.0,1944090.0,2668377.0
415,2018,740436.0,1900951.0,2641387.0
538,2018,703712.0,1888197.0,2591909.0
2329,2018,655886.0,1932106.0,2587992.0
725,2018,706549.0,1879219.0,2585768.0
2405,2018,701026.0,1816038.0,2517064.0
2438,2018,710532.0,1779768.0,2490300.0
2337,2018,675070.0,1808080.0,2483150.0
3360,2018,675695.0,1800469.0,2476164.0
3022,2018,591253.0,1859022.0,2450275.0
948,2018,626475.0,1815557.0,2442032.0
2404,2018,673308.0,1765220.0,2438528.0
2929,2018,691470.0,1740242.0,2431712.0
2425,2018,622189.0,1791083.0,2413272.0
3735,2018,629915.0,1772681.0,2402596.0
3060,2018,648929.0,1734526.0,2383455.0
3174,2018,606842.0,1775046.0,2381888.0
3052,2018,634160.0,1734747.0,2368907.0
2416,2018,576415.0,1791371.0,2367786.0
2020,2018,626476.0,1729428.0,2355904.0
429,2018,639440.0,1709212.0,2348652.0
2756,2018,357468.0,1979899.0,2337367.0
2420,2018,722889.0,1589505.0,2312394.0
2701,2018,638185.0,1673766.0,2311951.0
2437,2018,607295.0,1703323.0,2310618.0
814,2018,616808.0,1683567.0,2300375.0
2833,2018,664275.0,1633188.0,2297463.0
999,2018,647074.0,1640766.0,2287840.0
3706,2018,542845.0,1725433.0,2268278.0
2336,2018,625417.0,1639090.0,2264507.0
1144,2018,619709.0,1642432.0,2262141.0
3016,2018,633481.0,1623685.0,2257166.0
2827,2018,617820.0,1634688.0,2252508.0
5003,2018,613789.0,1637926.0,2251715.0
3385,2018,620933.0,1604772.0,2225705.0
2412,2018,594540.0,1625827.0,2220367.0
2315,2018,599343.0,1603492.0,2202835.0
3059,2018,572890.0,1629724.0,2202614.0
3681,2018,550374.0,1646872.0,2197246.0
1156,2018,580145.0,1607011.0,2187156.0
2407,2018,581417.0,1602757.0,2184174.0
2173,2018,594067.0,1576571.0,2170638.0
417,2018,583244.0,1562068.0,2145312.0
2325,2018,573576.0,1569634.0,2143210.0
2430,2018,574654.0,1566632.0,2141286.0
2320,2018,581765.0,1549531.0,2131296.0
117,2018,565487.0,1564202.0,2129689.0
765,2018,535231.0,1585224.0,2120455.0
2422,2018,556326.0,1560245.0,2116571.0
456,2018,566981.0,1543402.0,2110383.0
2172,2018,541946.0,1550493.0,2092439.0
4187,2018,542916.0,1548349.0,2091265.0
432,2018,602770.0,1486847.0,2089617.0
3151,2018,571832.0,1510402.0,2082234.0
2321,2018,593878.0,1487925.0,2081803.0
4169,2018,553408.0,1528004.0,2081412.0
3383,2018,553189.0,1525830.0,2079019.0
604,2018,527264.0,1547463.0,2074727.0
2918,2018,528478.0,1543855.0,2072333.0
1415,2018,488048.0,1579286.0,2067334.0
2421,2018,535557.0,1529754.0,2065311.0
869,2018,534927.0,1526671.0,2061598.0
3393,2018,562914.0,1491402.0,2054316.0
2613,2018,561816.0,1490871.0,2052687.0
126,2018,549732.0,1496811.0,2046543.0
867,2018,513729.0,1529932.0,2043661.0
3541,2018,561236.0,1477852.0,2039088.0
2424,2018,529707.0,1507688.0,2037395.0
2312,2018,508251.0,1526980.0,2035231.0
2419,2018,537339.0,1496490.0,2033829.0
4975,2018,632447.0,1398760.0,2031207.0
195,2018,520579.0,1506655.0,2027234.0
2002,2018,534765.0,1490555.0,2025320.0
3384,2018,551801.0,1472314.0,2024115.0
4742,2018,530823.0,1492998.0,2023821.0
2100,2018,532308.0,1490085.0,2022393.0
2157,2018,581425.0,1440336.0,2021761.0
280,2018,519630.0,1501676.0,2021306.0
121,2018,543977.0,1470673.0,2014650.0
164,2018,527350.0,1485898.0,2013248.0
185,2018,535319.0,1476933.0,2012252.0
2409,2018,562365.0,1445073.0,2007438.0
4711,2018,557811.0,1446011.0,2003822.0
984,2018,559284.0,1443278.0,2002562.0
4539,2018,542708.0,1453822.0,1996530.0
2408,2018,539019.0,1453059.0,1992078.0
