QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2015,4415,13543973
2015,2404,12056157
2015,2420,11838131
2015,3380,11312087
2015,3386,11136737
2015,2487,11092433
2015,3519,10531280
2015,2405,10524567
2015,855,10389604
2015,1359,10356445
2015,416,10203205
2015,415,10189417
2015,2816,10074080
2015,3060,10050977
2015,3357,9782962
2015,2101,9779403
2015,414,9745942
2015,3516,9731281
2015,2929,9665328
2015,2403,9459124
2015,3385,9397960
2015,2438,9295318
2015,2326,9191104
2015,3381,9103791
2015,538,9075454
2015,3052,9049956
2015,3382,8995241
2015,2827,8938346
2015,849,8932158
2015,2315,8875728
2015,2329,8829107
2015,2985,8757951
2015,2833,8756837
2015,2316,8714348
2015,3360,8711411
2015,3059,8612267
2015,2899,8608287
2015,2100,8534363
2015,4562,8521358
2015,2306,8517770
2015,4742,8470836
2015,2103,8300358
2015,3383,8288344
2015,4155,8283803
2015,3735,8212989
2015,2416,8200503
2015,3384,8200469
2015,948,8190139
2015,4902,8122476
2015,2020,8100682
2015,2701,8100036
2015,2337,8095312
2015,725,8093982
2015,2173,8051836
2015,4381,8050035
2015,3393,7888686
2015,4169,7881378
2015,4552,7854509
2015,1156,7818094
2015,195,7759159
2015,3390,7751143
2015,2498,7719650
2015,3671,7716884
2015,117,7706595
2015,999,7705361
2015,2880,7701460
2015,2406,7700165
2015,2409,7697860
2015,2104,7697312
2015,5296,7693391
2015,4461,7680529
2015,814,7680330
2015,2407,7672514
2015,3361,7647651
2015,3681,7616497
2015,429,7581518
2015,1144,7559094
2015,4744,7531515
2015,2508,7508061
2015,3706,7474464
2015,431,7470301
2015,3389,7464804
2015,2336,7429506
2015,2421,7380265
2015,2613,7375961
2015,3151,7367480
2015,4187,7359673
2015,3556,7351407
2015,2756,7344750
2015,2172,7298998
2015,4711,7272941
2015,432,7265697
2015,3022,7259150
2015,2412,7247715
2015,3172,7229558
2015,202,7220052
2015,2327,7216722
2015,2430,7204299
2015,2614,7201284
2015,2157,7197537
