,Vehicle Type,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
0,Passenger,62324,84690,83979,87649,69439,56246
1,Campervan,327,431,465,627,573,485
2,Light Commercial,15917,19524,23586,27684,27794,22257
3,Light Rigid,665,734,1731,2606,2180,3652
4,Heavy Rigid,70,1060,1954,1773,2870,2072
5,Articulated Trucks,53,619,693,984,736,818
6,Non-Freight Carrying,82,152,59,264,261,332
7,Buses,209,470,324,437,369,421
8,Motorcycles,4569,6343,3969,2911,3652,2371
9,Total,84216,114023,116760,124935,107874,88654
