Vehicle Type,2014,2015,2016,2017,2018,2019,2020
Passenger,3519491,3581815,3666505,3750484,3838133,3907572,3963818
Campervan,12360,12687,13118,13583,14210,14783,15268
Light Commercial,616579,632496,652020,675606,703290,731084,753341
Light Rigid,29910,30575,31309,33040,35646,37826,41478
Heavy Rigid,78376,78446,79506,81460,83233,86103,88175
Articulated Trucks,26107,26160,26779,27472,28456,29192,30010
Non-Freight Carrying,6316,6398,6550,6609,6873,7134,7466
Buses,19623,19832,20302,20626,21063,21432,21853
Motorcycles,174336,178905,185248,189217,192128,195780,198151
Total,4483098,4567314,4681337,4798097,4923032,5030906,5119560
