QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2014,4415,13360748
2014,2404,12805526
2014,3380,11666891
2014,2487,11496637
2014,3386,11355936
2014,416,11029620
2014,3056,10943355
2014,3519,10941233
2014,2405,10915640
2014,1359,10648609
2014,3060,10413570
2014,2420,10388587
2014,855,10368198
2014,2403,10097035
2014,2101,10042744
2014,415,9982670
2014,414,9973352
2014,2929,9972728
2014,2438,9918267
2014,3516,9840867
2014,3385,9771074
2014,3357,9691979
2014,4902,9690401
2014,2326,9665420
2014,2816,9635885
2014,4562,9623185
2014,3052,9509437
2014,3381,9495627
2014,538,9423921
2014,2425,9314913
2014,3382,9191127
2014,2833,9122229
2014,2985,9027999
2014,2315,8986639
2014,2827,8956487
2014,3059,8937225
2014,2316,8930891
2014,2899,8851498
2014,849,8806988
2014,2100,8802048
2014,3360,8710822
2014,2329,8686385
2014,2306,8573594
2014,5296,8573406
2014,3383,8547355
2014,4155,8504017
2014,3384,8482401
2014,3735,8479995
2014,725,8468583
2014,4677,8383227
2014,2103,8380727
2014,4381,8368190
2014,948,8366570
2014,3393,8286174
2014,4744,8267768
2014,2701,8263383
2014,2337,8252518
2014,2020,8246862
2014,2498,8238172
2014,3390,8135841
2014,3671,8128143
2014,2416,8105324
2014,2880,8077589
2014,4461,8026289
2014,3706,8023684
2014,2173,7990754
2014,2104,7977109
2014,431,7974265
2014,4742,7956868
2014,2333,7954000
2014,3361,7942036
2014,999,7934541
2014,1156,7886184
2014,117,7880402
2014,429,7875771
2014,814,7874491
2014,2407,7868432
2014,3681,7858486
2014,1144,7802782
2014,2918,7801074
2014,2406,7799376
2014,195,7770240
2014,202,7748726
2014,3022,7734055
2014,3389,7723125
2014,4975,7708949
2014,2756,7626259
2014,2409,7618002
2014,3392,7592517
2014,2613,7568895
2014,2336,7567338
2014,291,7551547
2014,2302,7550450
2014,3198,7523433
2014,2421,7501376
2014,4187,7466147
2014,4711,7437669
2014,3151,7434800
2014,3075,7409536
2014,2614,7396049
2015,4415,13543973
2015,2404,12056157
2015,2420,11838131
2015,3380,11312087
2015,3386,11136737
2015,2487,11092433
2015,3519,10531280
2015,2405,10524567
2015,855,10389604
2015,1359,10356445
2015,416,10203205
2015,415,10189417
2015,2816,10074080
2015,3060,10050977
2015,3357,9782962
2015,2101,9779403
2015,414,9745942
2015,3516,9731281
2015,2929,9665328
2015,2403,9459124
2015,3385,9397960
2015,2438,9295318
2015,2326,9191104
