NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,combined_peak
4415,2014,890100.0,2364701.0,3254801.0
3380,2014,681722.0,2549882.0,3231604.0
3519,2014,846159.0,2196732.0,3042891.0
416,2014,843006.0,2174718.0,3017724.0
2404,2014,826555.0,2185773.0,3012328.0
3056,2014,811737.0,2168915.0,2980652.0
1359,2014,805081.0,2168132.0,2973213.0
855,2014,837142.0,2121588.0,2958730.0
2816,2014,762223.0,2183471.0,2945694.0
2487,2014,784608.0,2153656.0,2938264.0
3357,2014,800664.0,2100627.0,2901291.0
3386,2014,765574.0,2112195.0,2877769.0
3516,2014,778720.0,2055689.0,2834409.0
2326,2014,696545.0,2063137.0,2759682.0
415,2014,769654.0,1975844.0,2745498.0
414,2014,710537.0,1965449.0,2675986.0
538,2014,721398.0,1947627.0,2669025.0
725,2014,702799.0,1953801.0,2656600.0
2101,2014,720628.0,1931435.0,2652063.0
2403,2014,715842.0,1917154.0,2632996.0
849,2014,772878.0,1855985.0,2628863.0
2438,2014,721057.0,1907072.0,2628129.0
2405,2014,694971.0,1921433.0,2616404.0
2316,2014,689873.0,1911020.0,2600893.0
2425,2014,696065.0,1886435.0,2582500.0
3060,2014,715784.0,1865044.0,2580828.0
3022,2014,642301.0,1929619.0,2571920.0
948,2014,649518.0,1895557.0,2545075.0
2827,2014,708898.0,1834735.0,2543633.0
2329,2014,638345.0,1900420.0,2538765.0
2315,2014,648556.0,1867387.0,2515943.0
3382,2014,647038.0,1864152.0,2511190.0
3381,2014,610899.0,1869616.0,2480515.0
2756,2014,349034.0,2129704.0,2478738.0
2337,2014,660902.0,1797269.0,2458171.0
3052,2014,671160.0,1778267.0,2449427.0
2899,2014,677821.0,1762518.0,2440339.0
2929,2014,727320.0,1700270.0,2427590.0
2020,2014,631942.0,1788364.0,2420306.0
3735,2014,635584.0,1781257.0,2416841.0
2833,2014,694109.0,1717504.0,2411613.0
2416,2014,576120.0,1788011.0,2364131.0
3385,2014,652326.0,1703535.0,2355861.0
3059,2014,626323.0,1727758.0,2354081.0
2701,2014,651469.0,1677558.0,2329027.0
3360,2014,652366.0,1676077.0,2328443.0
429,2014,637164.0,1664807.0,2301971.0
2100,2014,607907.0,1693642.0,2301549.0
3016,2014,659154.0,1634877.0,2294031.0
2103,2014,577897.0,1715255.0,2293152.0
999,2014,655821.0,1628758.0,2284579.0
814,2014,621871.0,1662427.0,2284298.0
117,2014,603891.0,1677669.0,2281560.0
431,2014,615139.0,1651194.0,2266333.0
3383,2014,604333.0,1655464.0,2259797.0
1144,2014,627123.0,1627040.0,2254163.0
2336,2014,615920.0,1624288.0,2240208.0
5296,2014,638140.0,1601942.0,2240082.0
3706,2014,561674.0,1652614.0,2214288.0
3681,2014,572896.0,1636183.0,2209079.0
4562,2014,614737.0,1591138.0,2205875.0
417,2014,610199.0,1583917.0,2194116.0
984,2014,584189.0,1599331.0,2183520.0
2407,2014,546995.0,1629486.0,2176481.0
2104,2014,513310.0,1658103.0,2171413.0
4187,2014,577212.0,1588882.0,2166094.0
1156,2014,577969.0,1588098.0,2166067.0
2320,2014,578359.0,1587400.0,2165759.0
2421,2014,576044.0,1585419.0,2161463.0
3671,2014,568645.0,1592768.0,2161413.0
3384,2014,577801.0,1574755.0,2152556.0
2498,2014,592227.0,1559143.0,2151370.0
3393,2014,580623.0,1565531.0,2146154.0
126,2014,587523.0,1557273.0,2144796.0
432,2014,622896.0,1515334.0,2138230.0
2173,2014,599641.0,1529730.0,2129371.0
2430,2014,573622.0,1553873.0,2127495.0
2880,2014,562349.0,1564720.0,2127069.0
3151,2014,554224.0,1563179.0,2117403.0
164,2014,559931.0,1554933.0,2114864.0
2172,2014,553989.0,1553886.0,2107875.0
4461,2014,563103.0,1540060.0,2103163.0
4155,2014,554190.0,1547580.0,2101770.0
202,2014,605213.0,1495071.0,2100284.0
2327,2014,544941.0,1546574.0,2091515.0
195,2014,557349.0,1525333.0,2082682.0
4901,2014,518619.0,1561211.0,2079830.0
3308,2014,549114.0,1527436.0,2076550.0
4744,2014,566788.0,1506013.0,2072801.0
2419,2014,558381.0,1510736.0,2069117.0
2412,2014,557234.0,1511827.0,2069061.0
3361,2014,569480.0,1495042.0,2064522.0
2325,2014,547732.0,1514383.0,2062115.0
2328,2014,532429.0,1522094.0,2054523.0
4902,2014,566227.0,1487714.0,2053941.0
3541,2014,591371.0,1461364.0,2052735.0
456,2014,561886.0,1487291.0,2049177.0
2613,2014,568013.0,1477587.0,2045600.0
4169,2014,550337.0,1494498.0,2044835.0
2422,2014,551030.0,1493076.0,2044106.0
