HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,AVERAGE,MORNING_MEAN,AFTERNOON_MEAN
15964,2157, WEST GATE FREEWAY btwn ramps at Western link,WEST BOUND,7796.196428571428,6361.571428571428,9230.82142857143
14538,2163, WEST GATE FREEWAY E BD BTWN $$ & $$,EAST BOUND,7540.428571428572,7525.571428571428,7555.285714285715
7472,8417, MONASH FREEWAY btwn Huntingdale Rd and Forster Rd,WEST BOUND,6521.232142857143,6690.857142857143,6351.607142857143
371,8417, MONASH FREEWAY btwn Huntingdale Rd and Forster Rd,EAST BOUND,6500.660714285715,5610.428571428572,7390.892857142857
5,8726, MONASH FREEWAY btwn Blackburn Rd & Forster Rd,EAST BOUND,6411.553571428572,5273.0,7550.107142857143
372,8520, MONASH FREEWAY btwn FORSTER ROAD & MONASH FREEWAY Onramp,EAST BOUND,6400.821428571428,5077.571428571428,7724.071428571428
188,8622, MONASH FREEWAY btwn MONASH FREEWAY Offramp & FORSTER ROAD,EAST BOUND,6400.821428571428,5077.571428571428,7724.071428571428
7712,8520, MONASH FREEWAY btwn FORSTER ROAD & MONASH FREEWAY Onramp,WEST BOUND,6307.303571428572,6572.714285714285,6041.892857142857
7471,8622, MONASH FREEWAY btwn MONASH FREEWAY Offramp & FORSTER ROAD,WEST BOUND,6307.303571428572,6572.714285714285,6041.892857142857
1062,1292, WEST GATE FREEWAY btwn Williamstown Rd & Todd Rd,EAST BOUND,6205.803571428572,6624.785714285715,5786.821428571428
6571,8726, MONASH FREEWAY btwn Blackburn Rd & Forster Rd,WEST BOUND,6202.375,6529.642857142857,5875.107142857143
7961,1295, WEST GATE FREEWAY btwn WEST GATE FREEWAY Offramp & WEST GATE FREEWAY,SOUTH WEST BOUND,6184.303571428572,4688.0,7680.607142857143
373,2, MONASH FREEWAY btwn BLACKBURN ROAD & MONASH FREEWAY Onramp,EAST BOUND,6124.821428571428,4858.571428571428,7391.071428571428
189,84, MONASH FREEWAY btwn MONASH FREEWAY Offramp & BLACKBURN ROAD,SOUTH EAST BOUND,6124.821428571428,4858.571428571428,7391.071428571428
6946,289, MONASH FREEWAY btwn MONASH FREEWAY Offramp & MONASH FREEWAY Onramp,NORTH WEST BOUND,6064.714285714285,6278.0,5851.428571428572
7470,2, MONASH FREEWAY btwn BLACKBURN ROAD & MONASH FREEWAY Onramp,WEST BOUND,6050.392857142857,6304.857142857143,5795.928571428572
7711,84, MONASH FREEWAY btwn MONASH FREEWAY Offramp & BLACKBURN ROAD,NORTH WEST BOUND,6050.392857142857,6304.857142857143,5795.928571428572
7473,8212, MONASH FREEWAY btwn Warrigal Rd off & Huningdale Rd,WEST BOUND,6015.875,6274.714285714285,5757.035714285715
187,8212, MONASH FREEWAY btwn Warrigal Rd off & Huningdale Rd,EAST BOUND,6003.339285714285,5096.642857142857,6910.035714285715
15767,2251, WEST GATE FREEWAY btwn MONTAGUE STREET & WESTERN LINK TOLLWAY,WEST BOUND,5933.946428571428,4669.642857142857,7198.25
15965,1301, WEST GATE FREEWAY btwn Western link and Montague St,WEST BOUND,5933.946428571428,4669.642857142857,7198.25
14541,2168, WEST GATE FWY E BD BTWN RAMP AT LORIMER ST & Montague St,WEST BOUND,5933.946428571428,4669.642857142857,7198.25
6570,188, MONASH FREEWAY btwn Blackburn Rd & Ferntree Gully Rd,NORTH WEST BOUND,5925.125,6349.928571428572,5500.321428571428
15929,2168, WEST GATE FWY E BD BTWN RAMP AT LORIMER ST & Montague St,EAST BOUND,5900.767857142857,6089.357142857143,5712.178571428572
14539,2164, WEST GATE FREEWAY E BD BTWN $$ & $$,WEST BOUND,5900.767857142857,6089.357142857143,5712.178571428572
14580,2244, MONASH FREEWAY btwn RAMPS AT WELLINGTON ROAD,NORTH WEST BOUND,5843.428571428572,6089.142857142857,5597.714285714285
190,188, MONASH FREEWAY btwn Blackburn Rd & Ferntree Gully Rd,SOUTH EAST BOUND,5834.803571428572,4657.714285714285,7011.892857142857
6569,282, MONASH FREEWAY btwn MONASH FREEWAY Onramp & MONASH FREEWAY Offramp,NORTH WEST BOUND,5820.303571428572,6344.5,5296.107142857143
15742,2168, WEST GATE FWY E BD BTWN RAMP AT LORIMER ST & Montague St,WEST BOUND,5817.875,5147.0,6488.75
1589,1291, WEST GATE FREEWAY btwn WILLIAMSTOWN ROAD & WEST GATE FREEWAY Onramp,EAST BOUND,5791.017857142857,5976.071428571428,5605.964285714285
1255,1290, WEST GATE FREEWAY btwn WEST GATE FREEWAY Offramp & WILLIAMSTOWN ROAD,EAST BOUND,5791.017857142857,5976.071428571428,5605.964285714285
186,7480, MONASH FREEWAY btwn BURKE ROAD & MONASH FREEWAY Onramp,SOUTH EAST BOUND,5781.517857142857,4586.285714285715,6976.75
2,7581, MONASH FREEWAY btwn MONASH FREEWAY Offramp & BURKE ROAD,EAST BOUND,5781.517857142857,4586.285714285715,6976.75
3,7682, MONASH FREEWAY btwn Bourke Rd & High St,SOUTH EAST BOUND,5730.946428571428,4863.071428571428,6598.821428571428
7474,7994, MONASH FREEWAY btwn WARRIGAL ROAD & MONASH FREEWAY Onramp,NORTH WEST BOUND,5726.285714285715,5967.142857142857,5485.428571428572
6572,8102, MONASH FREEWAY btwn MONASH FREEWAY Offramp & WARRIGAL ROAD,WEST BOUND,5726.285714285715,5967.142857142857,5485.428571428572
4,7994, MONASH FREEWAY btwn WARRIGAL ROAD & MONASH FREEWAY Onramp,SOUTH EAST BOUND,5702.660714285715,4523.714285714285,6881.607142857143
369,8102, MONASH FREEWAY btwn MONASH FREEWAY Offramp & WARRIGAL ROAD,EAST BOUND,5702.660714285715,4523.714285714285,6881.607142857143
553,7787, MONASH FREEWAY btwn HIGH STREET & MONASH FREEWAY Onramp,SOUTH BOUND,5697.375,4519.5,6875.25
375,289, MONASH FREEWAY btwn MONASH FREEWAY Offramp & MONASH FREEWAY Onramp,SOUTH EAST BOUND,5649.446428571428,4398.857142857143,6900.035714285715
